Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
10,etwas in Anspruch nehmen,Yararlanmak / Kullanmak,يستفيد من / يستخدم,از چیزی استفاده کردن,Tiştekî bi kar anîn,скористатися чимось,to make use of sth.,"Um das Problem zu lösen, mussten wir die Hilfe eines professionellen Beraters in Anspruch nehmen."
10,"die Dienstleistung, -en",Hizmet,خدمة,خدمت,Xizmet,послуга,service,Im modernen Wirtschaftssystem gewinnt der Sektor der Dienstleistungen immer mehr an Bedeutung.
10,"die Unterbringung, -en",Konaklama / Yerleştirme,إقامة / إسكان,اسکان / جا دادن,Cîwar kirin,розміщення / проживання,accommodation,"Die Stadt sorgt für eine angemessene Unterbringung der Menschen, die ihre Wohnungen verloren haben."
10,"der Vierbeiner, -",Dört ayaklı (evcil hayvan),حيوان أليف (ذو أربع),چهارپا (حیوان),Heywanê çarling,чотирилапий (тварина),four-legged friend,In diesem Hotel sind auch unsere treuen Vierbeiner herzlich willkommen und gut versorgt.
10,"der Werbespruch, -¨e",Slogan,شعار إعلاني,شعار تبلیغاتی,Dirûşmê reklamê,рекламне гасло,advertising slogan,Ein eingängiger Werbespruch kann den Wiedererkennungswert einer Marke erheblich steigern.
10,"der Zusatz, -¨e",Ek / Katkı,إضافة / ملحق,ضمیمه / افزودنی,Lêzêdekirin,додаток / домішка,addition / supplement,Ohne den Zusatz von Konservierungsstoffen ist dieses Produkt nur wenige Tage lang haltbar.
10,sich ausschließen,Birbirini dışlamak,يستبعد أحدهما الآخر,یکدیگر را نفی کردن,Hev derxistin,виключати один одного,to exclude each other,Qualität und ein günstiger Preis müssen sich nicht zwangsläufig gegenseitig ausschließen.
10,erhältlich,Mevcut / Temin edilebilir,متوفر / متاح,موجود / قابل تهیه,Peydakirî,наявний у продажу,available,Diese speziellen Ersatzteile sind leider nur bei autorisierten Fachhändlern erhältlich.
10,knifflig,Karışık / Çetrefilli,معقد / شائك,دشوار / پیچیده,Tevlîhev,каверзний / складний,tricky,Die Reparatur des alten Uhrwerks erwies sich als eine äußerst knifflige und zeitintensive Aufgabe.
10,unersetzlich,Vazgeçilmez / Yeri dolmaz,لا يطاق / لا يعوض,جایگزین‌ناپذیر,Bêhempa,незамінний,irreplaceable,"Für das Team ist sie eine unersetzliche Mitarbeiterin, die über ein enormes Fachwissen verfügt."
10,unschlagbar,Yenilmez / Rakipsiz,لا يقهر,شکست‌ناپذیر,Bêhempa,неперевершений,unbeatable,Das Preis-Leistungs-Verhältnis dieses Angebots ist momentan auf dem gesamten Markt unschlagbar.
10,"der Flyer, -",El ilanı / Broşür,منشور إعلاني,تراکت / بروشور,Belavok,флаєр / листівка,flyer / leaflet,Zur Eröffnung des neuen Cafés wurden in der gesamten Nachbarschaft bunte Flyer verteilt.
10,"die Investition, -en",Yatırım,استثمار,سرمایه‌گذاری,Veberhênan,інвестиція,investment,Die Investition in Bildung ist für die langfristige Entwicklung einer Gesellschaft von entscheidender Bedeutung.
10,"das Logo, -s",Logo / Amblem,شعار (لوغو),نشان / لوگو,Logo,логотип,logo,"Das markante Logo der Firma wurde modernisiert, um eine jüngere Zielgruppe anzusprechen."
10,"die Umsetzung, -en",Uygulama / Hayata geçirme,تنفيذ / تطبيق,اجرا / پیاده‌سازی,Pêkanîn,реалізація / втілення,implementation,"Die theoretische Planung war einfach, aber die praktische Umsetzung des Projekts bereitete Schwierigkeiten."
10,verlockend klingen,Kulağa cazip gelmek,يبدو مغرياً,وسوسه‌انگیز بودن,Balkêş hatin,звучати спокусливо,to sound tempting,"Das Angebot für die Reise nach Asien klingt sehr verlockend, aber ich muss erst meinen Urlaub klären."
10,inbegriffen sein,Dahil olmak,متضمن / مشمول,شامل بودن,Tê de bûn,бути включеним,to be included,Im Preis für das Hotelzimmer sind das Frühstück und die Nutzung des Wellnessbereichs bereits inbegriffen.
10,"die/der Beteiligte, -en",Katılımcı / İlgili kişi,المشارك / المعني,ذینفع / شرکت‌کننده,Pişkdar,учасник / зацікавлена особа,participant / party,Alle an dem Projekt Beteiligten zeigten sich mit dem erreichten Endergebnis sehr zufrieden.
10,"die Enttäuschung, -en",Hayal kırıklığı,خيبة أمل,ناامیدی,Dilşikestî,розчарування,disappointment,Trotz der intensiven Vorbereitung war die Enttäuschung über das Scheitern des Experiments groß.
10,"der Fachmann, -¨er",Uzman (erkek),خبير,متخصص,Pispor,фахівець,expert,"Wenn die Heizung nicht funktioniert, sollte man unbedingt einen Fachmann zurate ziehen."
10,"der Gutschein, -e",Hediye çeki / Kupon,قسيمة شراء,بن غذا / کالابرگ,Kupon,купон / сертифікат,voucher,"Da ich nicht wusste, was ich ihr schenken sollte, kaufte ich ihr einen Gutschein für eine Buchhandlung."
10,"die Jagd, -en",Av / Kovalama,صيد / مطاردة,شکار,Nêçîr,полювання,hunt / chase,Viele Kunden befinden sich während des Ausverkaufs auf der Jagd nach den besten Rabatten.
10,"die Mogelpackung, -en",Yanıltıcı ambalaj,عبوة مخادعة,بسته‌بندی فریبنده,Pakêta xapînok,оманлива упаковка,deceptive packaging,"Verbraucherschützer kritisieren oft Produkte, die sich bei genauerem Hinsehen als Mogelpackung erweisen."
10,"das (Internet)Portal, -e",İnternet portalı,بوابة إلكترونية,درگاه اینترنتی,Portal,інтернет-портал,portal,Auf diesem Portal können Verbraucher die Preise verschiedener Stromanbieter miteinander vergleichen.
10,"der Rabatt, -e",İndirim,خصم,تخفیف,Erzanî,знижка,discount,Neukunden erhalten bei ihrer ersten Bestellung einen exklusiven Rabatt von zehn Prozent.
10,"das Schnäppchen, -",Kelepir / Ucuzluk,صفقة رابحة,معامله پرسود,Tiştê erzan,вигідна покупка,bargain,Auf dem Flohmarkt konnte er ein echtes Schnäppchen machen und eine antike Lampe günstig kaufen.
10,vermitteln,Aracılık etmek,يتوسط / ينقل,میانجی‌گری کردن,Navbeynkarî kirin,посередничати,to convey / mediate,"Ein guter Lehrer muss nicht nur Wissen vermitteln, sondern auch die Neugier der Schüler wecken."
10,jemanden zufriedenstellen,Birini memnun etmek,يرضي شخصاً,کسی را راضی کردن,Yekî razî kirin,задовольняти когось,to satisfy s.o.,"Es ist unmöglich, es immer allen recht zu machen und jeden Kunden vollkommen zufriedenzustellen."
10,ausverkauft sein,Tükenmiş olmak,نفدت الكمية,تمام شدن کالا,Xilaskirî,бути розпроданим,to be sold out,Leider sind die Eintrittskarten für das Konzert bereits seit mehreren Wochen komplett ausverkauft.
10,limitiert,Sınırlı,محدود,محدود,Sînorkirî,лімітований,limited,Die Sonderedition des Buches ist auf nur fünfhundert Exemplare weltweit limitiert.
10,ursprünglich,Başlangıçta / Aslında,أصلي / في الأصل,در اصل / نخست,Di bingeh de,початковий / первісний,originally,"Ursprünglich wollten wir ans Meer fahren, haben uns dann aber doch für einen Wanderurlaub entschieden."
10,"der Blumenstrauß, -¨e",Çiçek demeti,باقة زهور,دسته گل,Çiçekên komkirî,букет квітів,bouquet of flowers,"Zur Begrüßung überreichte er seiner neuen Kollegin einen wunderschönen, bunten Blumenstrauß."
10,"die Büchse, -n",Konserve kutusu,علبة صفيح,قوطی,Qutî,бляшанка,can / tin,"Er öffnete eine Büchse mit Suppe, da er am Abend keine Zeit mehr hatte, frisch zu kochen."
10,"der Bund, -¨e",Demet / Bağ,حزمة / ربطة,دسته / بند,Komik,в'язка / пучок,bunch,Auf dem Markt kaufte sie einen frischen Bund Petersilie und zwei Kilo saftige Äpfel.
10,"der Dauerbrenner, -",Hiç eskimeyen şey / Uzun süreli başarı,نجاح مستمر,موفقیت همیشگی,Serkeftina berdavam,хіт усіх часів,evergreen / long-runner,Dieses klassische Brettspiel ist seit Jahrzehnten ein Dauerbrenner in vielen deutschen Haushalten.
10,"die Erdbeere, -n",Çilek,فراولة,توت‌فرنگی,Tûfirengî,полуниця,strawberry,"Im Frühsommer ist die Ernte der süßen, heimischen Erdbeeren für viele ein kulinarisches Highlight."
10,"der Gärtner, -",Bahçıvan,بستاني,باغبان,Baxçevan,садівник,gardener,Der fleißige Gärtner kümmert sich täglich um die Pflege der weitläufigen Parkanlage des Schlosses.
10,"das Grundstück, -e",Arazi / Arsa,قطعة أرض,ملک / زمین,Erd / Ers,земельна ділянка,plot of land,"Sie suchen schon lange nach einem passenden Grundstück, um sich ihr eigenes Traumhaus zu bauen."
10,"das Kraut, -¨er",Ot / Bitki,عشب,گیاه / سبزی,Gîha,трава / зілля,herb,"In ihrem Garten wachsen viele verschiedene Kräuter, die sie zum Würzen ihrer Speisen verwendet."
10,"die Plantage, -n",Plantasyon / Büyük çiftlik,مزارع واسعة,کشتزار,Reز / Rez,плантація,plantation,Auf der riesigen Plantage in Brasilien wird hochwertiger Kaffee für den Export nach Europa angebaut.
10,die Selbstbedienung,Self servis,خدمة ذاتية,خود‌سرویس,Xizmeta bi xwe,самообслуговування,self-service,"In diesem Café herrscht Selbstbedienung, daher müssen die Kunden ihre Getränke an der Theke abholen."
10,"das Sortiment, -e",Ürün yelpazesi,تشكيلة منتجات,تنوع کالا,Cûrbecûrî,асортимент,assortment,Der kleine Laden hat sein Sortiment um viele ökologische und regionale Produkte erweitert.
10,"der Wühltisch, -e",İndirimli ürün masası,طاولة العروض المخفضة,میز حراج,Maseya erzanî,стіл з розпродажними товарами,bargain bin,Auf dem Wühltisch im Kaufhaus findet man oft Kleidung zu stark reduzierten Sonderpreisen.
10,sich befinden,Bulunmak,يتواجد,قرار داشتن,Lê bûn,знаходитися,to be located,Das Büro des Geschäftsführers befindet sich im obersten Stockwerk des modernen Gebäudes.
10,bewässern,Sulamak,يسقي / يروي,آبیاری کردن,Av dan,зрошувати / поливати,to water / irrigate,Während der heißen Sommermonate müssen die Bauern ihre Felder regelmäßig künstlich bewässern.
10,experimentieren,Deney yapmak,يجرب,آزمایش کردن,Ceribandin,експериментувати,to experiment,"In der Küche liebt sie es, mit neuen Gewürzen und ungewöhnlichen Kombinationen zu experimentieren."
10,flitzen,Hızla koşmak,يهرع / ينطلق بسرعة,سریع دویدن,Bezîn,мчати,to dash,"Die Kinder flitzten aufgeregt durch den Garten, um die im Gebüsch versteckten Ostereier zu suchen."
10,inspirieren,İlham vermek,يلهم,الهام بخشیدن,Îlham dan,надихати,to inspire,Die beeindruckende Landschaft der Alpen hat schon viele Künstler zu ihren Werken inspiriert.
10,pflücken,Toplamak (meyve/çiçek),يقطف,چیدن,Çinîn,рвати / збирати,to pick,"Im Spätsommer gehen wir oft in den Wald, um dort frische Brombeeren und Pilze zu pflücken."
10,variieren,Çeşitlendirmek,ينوع / يغير,تغییر دادن,Guhartin,варіювати,to vary,Die Arbeitszeiten in diesem Betrieb variieren je nach Auftragslage und individueller Absprache.
10,zwinkern,Göz kırpmak,يغمز,چشمک زدن,Çav kutan,моргати / підмигувати,to wink,"Er zwinkerte mir verschmitzt zu, um zu zeigen, dass seine Bemerkung nicht ganz ernst gemeint war."
10,sich zur Gewohnheit machen,Alışkanlık edinmek,يجعله عادة,عادت کردن,Kirin edet,брати за звичку,to make sth. a habit,"Man sollte es sich zur Gewohnheit machen, täglich mindestens zwei Liter Wasser zu trinken."
10,gut/schlecht ankommen,İyi/kötü karşılanmak,يلقى قبولاً (جيداً/سيئاً),مورد قبول واقع شدن,Baş/xerab hatin dîtin,бути добре/погано сприйнятим,to be well/badly received,Der neue Vorschlag des Chefs ist bei der Belegschaft leider überhaupt nicht gut angekommen.
10,nach dem Rechten sehen,Her şey yolunda mı bakmak,يتفقد الأمور,مراقب اوضاع بودن,Lê nihêrtin,наглядати / перевіряти порядок,to check on things,"Während die Nachbarn im Urlaub waren, sah er regelmäßig in ihrer Wohnung nach dem Rechten."
10,im Trend liegen,Moda olmak,يواكب الموضة,روی بورس بودن,Di modayê de bûn,бути в тренді,to be trendy,Nachhaltige Mode und Second-Hand-Kleidung liegen derzeit bei jungen Menschen stark im Trend.
10,stetig,Sürekli / İstikrarlı,مستمر / دائم,مداوم,Berdewam,постійний / стабільний,steady / constant,Dank der neuen Marketingstrategie ist die Zahl der Neukunden in den letzten Monaten stetig gewachsen.
10,die Auswahl (Sg.),Seçenek / Seçim,اختيار / تشكيلة,انتخاب,Bijarte,вибір,selection,Das Restaurant bietet eine riesige Auswahl an vegetarischen und veganen Gerichten an.
10,"der Betreiber, -",İşletmeci,مشغل / مدير منشأة,اپراتور / گرداننده,Berpirsiyarê kargehê,оператор / власник,operator,"Der Betreiber des Kinos entschied sich dazu, auch klassische Schwarz-Weiß-Filme ins Programm aufzunehmen."
10,"die Kombination, -en",Kombinasyon,تركيب / دمج,ترکیب,Kombînasyon,комбінація,combination,Die Kombination aus moderner Architektur und historischen Elementen verleiht dem Gebäude einen Charme.
10,selbst verfasst,Kendi yazdığı,محرر ذاتياً,خود‌نوشته,Bi xwe nivîsandî,власноруч написаний,self-written,"Er las dem Publikum ein selbst verfasstes Gedicht vor, das von seinen Reisen handelte."
10,"das Abo, -s",Abonelik,اشتراك,اشتراک,Abonat,абонемент,subscription,"Ich habe mein Zeitschriften-Abo gekündigt, da ich die Artikel mittlerweile lieber online lese."
10,"die Einschätzung, -en",Değerlendirme / Tahmin,تقييم / تقدير,ارزیابی / برآورد,Nirxandin,оцінка,assessment,Nach meiner persönlichen Einschätzung wird sich die Marktsituation in den nächsten Monaten stabilisieren.
10,"das Phänomen, -e",Fenomen / Olgu,ظاهرة,پدیده,Fenomen,феномен,phenomenon,"Das Internet ist ein kulturelles Phänomen, das unsere Kommunikation grundlegend verändert hat."
10,"die Programmierung, -en",Programlama,برمجة,برنامه‌نویسی,Bernamekirin,програмування,programming,Für die Erstellung der neuen App war eine komplexe Programmierung der Datenbank erforderlich.
10,etwas bereuen,Pişman olmak,يندم على شيء,پشیمان شدن,Poşman bûn,шкодувати про щось,to regret sth.,"Er hat seine Entscheidung, das attraktive Jobangebot abzulehnen, schon nach kurzer Zeit zutiefst bereut."
10,jemanden/sich verkleiden (als),Kılık değiştirmek / Maskelenmek,يتنكر في زي,تغییر چهره دادن,Xwe guhartin,переодягатися (у когось),to dress up (as),"Zu Karneval verkleiden sich viele Menschen als Piraten, Hexen oder andere fantasievolle Gestalten."
10,über den Kopf wachsen,Başa çıkamamak / Ağır gelmek,يفوق طاقته,از حد توان گذشتن,Ji serî re derbas bûn,ставати непідсильним,to get over one's head,Die vielen Aufgaben im Haushalt und im Beruf drohten ihr langsam über den Kopf zu wachsen.
10,"die Eingabe, -n",Veri girişi / Dilekçe,إدخال بيانات,ورودی,Têketin,введення даних,input,"Bitte prüfen Sie Ihre Eingabe noch einmal sorgfältig, bevor Sie das Formular endgültig absenden."
10,"die Freisprechanlage, -n",Hoparlör / Ahizesiz görüşme,مكبر صوت (للهاتف),سیستم هندزفری,Hoparlor,пристрій гучного зв'язку,hands-free kit,"Während der Autofahrt sollte man ausschließlich über die Freisprechanlage telefonieren, um sicher zu sein."
10,jemanden nerven,Birini sinirlendirmek,يزعج شخصاً,کسی را کلافه کردن,Yekî aciz kirin,дратувати когось,to annoy s.o.,Die ständigen lauten Telefonate meines Kollegen im Großraumbüro nerven mich mittlerweile extrem.
10,amüsant,Eğlenceli,ممتع / مسلٍ,سرگرم‌کننده,Pêkenî,забавний,amusing,"Wir haben uns gestern einen sehr amüsanten Film angesehen, bei dem wir viel lachen mussten."
10,"das Ehrenamt, -¨er",Gönüllü görev,عمل تطوعي,فعالیت داوطلبانه,Karê xwebexş,громадська посада (почесна),voluntary work,"Ein Ehrenamt bietet die Möglichkeit, sich für die Gesellschaft zu engagieren und neue Leute zu treffen."
10,das Engagement (Sg.),Özveri / Katılım,التزام / تفانٍ,تعهد / فعالیت,Ked,активна участь / зобов'язання,commitment,Das soziale Engagement der Bürger ist eine wichtige Säule für das Funktionieren unserer Gemeinschaft.
10,eine Tätigkeit ausüben,Bir faaliyette bulunmak,يمارس نشاطاً,فعالیتی انجام دادن,Karekî kirin,здійснювати діяльність,to exercise a profession,"Um diesen Beruf ausüben zu können, benötigt man eine mehrjährige Ausbildung und viel Erfahrung."
10,sich engagieren für,...için çaba harcamak,ينشط لأجل,فعالیت کردن برای,Ked dan bo,брати активну участь у,to get involved in,Sie engagiert sich seit vielen Jahren aktiv für den Schutz bedrohter Tierarten weltweit.
10,ehrenamtlich,Gönüllü olarak,تطوعي,داوطلبانه,Xwebexş,на громадських засадах,voluntary,"Er arbeitet ehrenamtlich bei der Tafel, um bedürftige Menschen mit Lebensmitteln zu versorgen."
11,gut/schlecht ausgehen,İyi/kötü sonuçlanmak,ينتهي بشكل (جيد/سيء),(خوب/بد) تمام شدن,Baş/xerab bi dawî bûn,добре/погано закінчуватися,to end well/badly,"Wir alle hoffen, dass die schwierige Operation am Herzen für den Patienten gut ausgehen wird."
11,sich identifizieren mit,Kendini ... ile özdeşleştirmek,يتماهى مع,خود را با ... یکی دانستن,Xwe bi ... re dîtin,ідентифікувати себе з,to identify with,Viele Mitarbeiter identifizieren sich stark mit den Zielen und Werten ihres Unternehmens.
11,sprechen für / gegen,Lehinde / aleyhinde konuşmak,يتحدث (لصالح/ضد),موافق/مخالف بودن,Bo/li dijî axaftin,говорити за / проти,to speak for/against,"Es gibt viele Argumente, die für eine Verkürzung der wöchentlichen Arbeitszeit sprechen."
11,"der Anspruch, -¨e","Hak, talep, iddia",استحقاق / مطلب,ادعا / توقع,Maf / Daxwaz,претензія / вимога,claim / requirement,Der Anspruch auf bezahlten Urlaub ist in Deutschland gesetzlich für alle Arbeitnehmer geregelt.
11,der Bedarf (Sg.),"İhtiyaç, gereksinim",حاجة / احتياج,نیاز,Hewcedarî,потреба / попит,demand / need,Aufgrund des demografischen Wandels steigt der Bedarf an qualifiziertem Pflegepersonal stetig an.
11,"das Hauptmotiv, -e","Ana motif, temel neden",الدافع الرئيسي,انگیزه اصلی,Sedema sereke,головний мотив,main motive,Das Hauptmotiv für seinen Jobwechsel war der Wunsch nach einer besseren Vereinbarkeit von Familie und Beruf.
11,"die Hürde, -n","Engel, engel çıtası",عقبة,مانع,Asteng,перешкода / бар'єр,hurdle,Die Anerkennung ausländischer Berufsabschlüsse ist oft eine große bürokratische Hürde für Zuwanderer.
11,"der Knochenjob, -s",Çok ağır iş,عمل شاق جداً,کار بسیار سخت,Karê giran,важка / виснажлива робота,backbreaking job,"Die Arbeit auf dem Bau ist ein echter Knochenjob, der den Körper auf Dauer sehr stark belastet."
11,das Prestige (Sg.),"Prestij, saygınlık",برستيج / هيبة,اعتبار / پرستیژ,Rûmet,престиж,prestige,Für manche Menschen spielt das soziale Prestige ihres Berufs eine wichtigere Rolle als das Gehalt.
11,die Schuld (Sg.),"Borç, suç, vebal",ذنب / مديونية,گناه / بدهی,Sûç / Deyndarî,вина / борг,debt / guilt,Er konnte seine finanziellen Schulden erst nach vielen Jahren harter Arbeit komplett zurückzahlen.
11,die Schuld an (+ Dat.),...daki suç / sorumluluk,المسؤولية عن,مقصر بودن در,Berpirsiyariya li ser,провина у чомусь,fault for,Wer trägt eigentlich die Schuld an dem Scheitern der Verhandlungen zwischen den beiden Firmen?
11,"die Zulassung, -en","İzin, onay, kabul",ترخيص / قبول,پذیرش / اجازه,Destûr / Pejirandin,допуск / ліцензія,admission / licence,"Um als Arzt praktizieren zu dürfen, benötigt man eine staatliche Zulassung, die sogenannte Approbation."
11,akut,"Akut, ivedi",حاد,جدی / حاد,Akût / Bilez,гострий (стан),acute,Bei akuten Schmerzen im Brustbereich sollte man keine Zeit verlieren und sofort den Notarzt rufen.
11,angesehen,"Saygın, itibarlı",محترم / مرموق,معتبر,Birûmet,шанований / поважний,respected,Er ist ein sehr angesehener Experte auf seinem Fachgebiet und wird oft um seine Meinung gebeten.
11,ansehnlich,"Görkemli, hatırı sayılır",لائق / ضخم,قابل توجه,Balkêş / Mezin,чималий / пристойний,considerable,Trotz der Krise konnte das Unternehmen am Ende des Jahres einen ansehnlichen Gewinn verbuchen.
11,belastbar,Dayanıklı (stres vb.),متحمل للضغوط,با استقامت,Berxwedêr,стресостійкий,resilient,"In Stresssituationen ist es wichtig, ruhig zu bleiben und körperlich sowie mental belastbar zu sein."
11,"die Anerkennung, -en","Takdir, tanınma, onay",تقدير / اعتراف,قدردانی / شناسایی,Nasandin,визнання / схвалення,recognition,"Die Anerkennung seiner Leistungen durch den Chef motivierte ihn, sich noch mehr anzustrengen."
11,"die Herausforderung, -en","Zorluk, meydan okuma",تحدي,چالش,Zehmetî,виклик / випробовування,challenge,Die Digitalisierung der gesamten Verwaltung stellt eine enorme technische Herausforderung dar.
11,"die Hospitation, -en",Gözlemci olarak ders izleme,فترة مراقبة / تدريب,دوره مشاهده‌گری,Staj / Çavdêrî,стажування (як слухач),job shadowing,Während meiner Hospitation im Krankenhaus konnte ich den Chirurgen bei ihrer Arbeit über die Schulter schauen.
11,"die Qualifikation, -en","Nitelik, vasıf",مؤهل,صلاحیت,Kalîfîkasyon,кваліфікація,qualification,Für diese anspruchsvolle Stelle benötigen Sie eine zusätzliche Qualifikation im Bereich Management.
11,"die Recherche, -n","Araştırma, inceleme",بحث / استقصاء,تحقیق / جستجو,Lêkolîn,розшук / розслідування,research,Eine gründliche Recherche im Internet ist die Voraussetzung für einen gut fundierten Zeitungsartikel.
11,"die Visite, -n","Vizite, hasta ziyareti",معاينة / زيارة طبيب,ویزیت / عیادت,Serdana nexweşan,лікарський обхід / візит,doctor's round,Während der täglichen Visite bespricht der behandelnde Arzt mit den Patienten den weiteren Heilungsverlauf.
11,kostspielig,"Masraflı, pahalı",مكلف,پرهزینه,Biha,дорогий / коштовний,costly,Die Anschaffung der neuen medizinischen Geräte war für die kleine Klinik sehr kostspielig.
11,künftig,Gelecekteki,مستقبلي,آینده,Di paşerojê de,майбутній,future,"Wir müssen uns Gedanken darüber machen, wie wir unsere Energie künftig umweltfreundlicher gewinnen können."
11,"die Allergie, -n",Alerji,حساسية,آلرژی,Alerjî,алергія,allergy,"Wegen seiner Pollen-Allergie muss er im Frühling oft Medikamente einnehmen, um atmen zu können."
11,"der Ausschlag, -¨e","Cilt döküntüsü, kaşıntı",طفح جلدي,جوش / راش پوستی,Werimîna çerm,висип,rash,Nach der Berührung mit der Pflanze bekam er einen juckenden roten Ausschlag an beiden Armen.
11,"die Beschwerde, -n","Şikayet, sızı",شكوى / آلام,شکایت / درد,Gilî / Nexweşî,скарга / біль,complaint / symptom,"Wenn die körperlichen Beschwerden schlimmer werden, sollten Sie unbedingt einen Facharzt aufsuchen."
11,der Bluthochdruck,Yüksek tansiyon,ارتفاع ضغط الدم,فشار خون بالا,Tansiyona bilind,високий кров'яний тиск,high blood pressure,Chronischer Bluthochdruck kann das Risiko für Schlaganfälle und Herzkrankheiten massiv erhöhen.
11,"der Durchfall, -¨e",İshal,إسهال,اسهال,Zikçûn,діарея / пронос,diarrhea,Nach dem Verzehr von verdorbenem Fleisch litt er mehrere Tage lang unter heftigem Durchfall.
11,"die Entzündung, -en",İltihap,التهاب,التهاب,Werim / Îltîhab,запалення,inflammation,"Die Wunde am Knie hat sich leider infiziert, was zu einer schmerzhaften Entzündung geführt hat."
11,das Erbrechen (Sg.),Kusma,قيء,استفراغ,Vereşîn,блювання,vomiting,Starke Übelkeit und häufiges Erbrechen sind oft Anzeichen für eine ernste Lebensmittelvergiftung.
11,"das Heilmittel, -","İlaç, derman",علاج / دواء,داروی شفابخش,Derman,лікувальний засіб,remedy,Die Wissenschaft sucht fieberhaft nach einem wirksamen Heilmittel gegen diese seltene Erbkrankheit.
11,"die Infektion, -en",Enfeksiyon,عدوى,عفونت,Enfeksîyon,інфекція,infection,Durch regelmäßiges Händewaschen kann man das Risiko für eine bakterielle Infektion deutlich senken.
11,"das Insekt, -en",Böcek,حشرة,حشره,Kirm / Kêz,комаха,insect,"Manche Menschen reagieren allergisch auf den Stich bestimmter Insekten, wie Wespen oder Bienen."
11,"der Sonnenbrand, -¨e",Güneş yanığı,حروق الشمس,آفتاب‌سوختگی,Şewata rojê,сонячний опік,sunburn,Ohne ausreichenden Sonnenschutz bekommt man am Strand sehr schnell einen schmerzhaften Sonnenbrand.
11,"die Spritze, -n","Şırınga, iğne",حقنة,آمپول / سرنگ,Derzî,шприц / укол,injection / syringe,"Der Arzt gab ihm eine Spritze gegen die Schmerzen, die glücklicherweise sehr schnell wirkte."
11,"der Stich, -e","Sokma, batma (böcek vb.)",لسعة / لدغة,نیش,Vegirtin,укус / укол,sting / bite,"Ein Mückenstich ist meist harmlos, kann aber im Sommer sehr unangenehm jucken und anschwellen."
11,die Übelkeit (Sg.),Mide bulantısı,غثيان,حالت تهوع,Dilrabûn,нудота,nausea,Das ständige Schaukeln des Schiffes verursachte bei vielen Passagieren eine starke Übelkeit.
11,"der Verband, -¨e","Sargı, bandaj, birlik",ضِماد / اتحاد,پانسمان / اتحادیه,Bandaj,пов'язка / асоціація,bandage / association,"Die Krankenschwester wechselte vorsichtig den Verband, um die Heilung der Wunde zu kontrollieren."
11,"die Wunde, -n",Yara,جرح,زخم,Birîn,рана,wound,Die tiefe Schnittwunde an seiner Hand musste im Krankenhaus mit mehreren Stichen genäht werden.
11,"das Zäpfchen, -",Fitil,تحميلة,شیاف,Fitil,свічка (медична),suppository,Bei kleinen Kindern werden Medikamente gegen Fieber oft in Form von Zäpfchen verabreicht.
11,grundsätzlich,"Temel olarak, prensipte",مبدئي / أساسي,اصولی / اساساً,Di bingeh de,принципово / в основному,basically,"Ich bin grundsätzlich bereit, am Wochenende zu arbeiten, wenn es im Team vorher abgesprochen wird."
11,"der Heilpraktiker, -",Alternatif tıp uzmanı,ممارس طب بديل,پزشک طب سنتی,Bijîşkê xwezayî,лікар-натуропат,alternative practitioner,Manche Patienten vertrauen eher der Naturmedizin und gehen daher lieber zu einem Heilpraktiker.
11,"der Nerv, -en",Sinir,عصب,عصب,Damar,нерв,nerve,"Durch den Unfall wurde ein wichtiger Nerv im Bein geschädigt, was zu Taubheitsgefühlen führt."
11,"das Symptom, -e","Belirti, semptom",عرض مرضي,نشانه بیماری,Nîşana nexweşiyê,симптом,symptom,Müdigkeit und Abgeschlagenheit können frühe Symptome für eine beginnende Erkältung sein.
11,"der/das Virus, die Viren",Virüs,فيروس,ویروس,Vîrus,вірус,virus,Grippeviren verbreiten sich besonders schnell in geschlossenen Räumen mit vielen Menschen.
11,sich anstecken,"Hastalık kapmak, bulaşmak",يلتقط عدوى,واگیر کردن,Vegirtin,заразитися,to get infected,Im Kindergarten stecken sich die Kinder oft gegenseitig mit verschiedenen Krankheiten an.
11,einreiben,"Ovmak, sürmek (krem vb.)",يدهن / يفرك,مالیدن (پماد),Sîqil kirin,розтирати / втирати,to rub in,Du solltest deine trockene Haut nach dem Duschen immer mit einer feuchtigkeitsspendenden Creme einreiben.
11,etwas übertreiben,Abartmak,يبالغ في شيء,مبالغه کردن,Mezin kirin,перебільшувати,to exaggerate,"Man sollte es mit dem Sport nicht übertreiben, da der Körper auch ausreichend Erholungspausen benötigt."
11,vermeiden,"Kaçınmak, önlemek",يتجنب,اجتناب کردن,Dûr ketin,уникати,to avoid,"Um Stress zu vermeiden, sollte man seine Aufgaben frühzeitig planen und nicht alles aufschieben."
11,dumpf,"Künt, boğuk, derin (ağrı)",ألم مكتوم,درد مبهم,Giran / Kur,тупий (біль) / приглушений,dull / muted,"Er verspürte einen dumpfen Schmerz im Hinterkopf, der ihn den ganzen Tag über begleitete."
11,intensiv,"Yoğun, şiddetli",مكثف / شديد,متمرکز / شدید,Tîr / Zêde,інтенсивний,intensive,Die intensive Betreuung der Patienten auf der Intensivstation erfordert viel Personal und Zeit.
